"","project","language","article","access","agent","granularity","date","views"
"102","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-16,2
"103","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-17,2
"104","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-18,2
"105","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-19,6
"106","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-20,3
"107","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-21,8
"108","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-22,5
"109","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-23,5
"110","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-24,4
"111","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-25,2
"112","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-26,2
"113","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-27,4
"114","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-28,4
"115","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-29,9
"116","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-30,3
"117","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-07-31,1
"118","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-01,6
"119","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-02,4
"120","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-03,5
"121","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-04,7
"122","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-05,5
"123","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-06,10
"124","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-07,7
"125","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-08,13
"126","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-09,7
"127","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-10,11
"128","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-11,5
"129","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-12,9
"130","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-13,7
"131","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-14,9
"132","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-15,7
"133","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-16,10
"134","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-17,8
"135","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-18,7
"136","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-19,8
"137","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-20,10
"138","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-21,14
"139","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-22,16
"140","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-23,19
"141","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-24,11
"142","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-25,10
"143","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-26,11
"144","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-27,10
"145","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-28,18
"146","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-29,15
"147","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-30,13
"148","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-08-31,10
"149","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-01,13
"150","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-02,21
"151","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-03,9
"152","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-04,15
"153","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-05,17
"154","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-06,16
"155","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-07,13
"156","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-08,20
"157","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-09,10
"158","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-10,15
"159","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-11,8
"160","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-12,14
"161","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-13,20
"162","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-14,6
"163","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-15,12
"164","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-16,26
"165","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-17,11
"166","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-18,16
"167","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-19,13
"168","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-20,12
"169","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-21,12
"170","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-22,6
"171","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-23,2
"172","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-24,6
"173","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-25,3
"174","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-26,9
"175","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-27,12
"176","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-28,11
"177","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-29,10
"178","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-09-30,9
"179","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-01,9
"180","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-02,9
"181","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-03,12
"182","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-04,12
"183","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-05,11
"184","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-06,17
"185","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-07,12
"186","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-08,24
"187","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-09,8
"188","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-10,11
"189","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-11,6
"190","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-12,9
"191","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-13,13
"192","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-14,9
"193","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-15,18
"194","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-16,6
"195","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-17,11
"196","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-18,18
"197","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-19,11
"198","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-20,15
"199","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-21,14
"200","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-22,9
"201","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-23,12
"202","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-24,11
"203","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-25,12
"204","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-26,7
"205","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-27,15
"206","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-28,11
"207","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-29,19
"208","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-30,19
"209","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-10-31,8
"210","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-01,7
"211","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-02,3
"212","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-03,3
"213","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-04,10
"214","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-05,13
"215","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-06,6
"216","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-07,11
"217","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-08,15
"218","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-09,7
"219","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-10,7
"220","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-11,11
"221","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-12,14
"222","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-13,9
"223","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-14,10
"224","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-15,5
"225","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-16,9
"226","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-17,13
"227","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-18,14
"228","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-19,8
"229","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-20,9
"230","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-21,7
"231","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-22,12
"232","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-23,7
"233","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-24,10
"234","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-25,8
"235","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-26,9
"236","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-27,5
"237","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-28,10
"238","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-29,10
"239","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-11-30,5
"240","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-01,10
"241","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-02,15
"242","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-03,11
"243","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-04,11
"244","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-05,7
"245","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-06,7
"246","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-07,10
"247","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-08,5
"248","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-09,17
"249","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-10,16
"250","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-11,11
"251","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-12,16
"252","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-13,13
"253","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-14,8
"254","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-15,8
"255","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-16,8
"256","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-17,5
"257","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-18,5
"258","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-19,3
"259","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-20,14
"260","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-21,13
"261","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-22,9
"262","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-23,9
"263","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-24,7
"264","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-25,9
"265","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-26,7
"266","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-27,8
"267","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-28,13
"268","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-29,13
"269","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-30,10
"270","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2015-12-31,1
"271","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-01,15
"272","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-02,26
"273","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-03,11
"274","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-04,10
"275","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-05,7
"276","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-06,17
"277","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-07,4
"278","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-08,14
"279","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-09,8
"280","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-10,9
"281","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-11,7
"282","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-12,20
"283","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-13,24
"284","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-14,19
"285","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-15,8
"286","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-16,14
"287","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-17,12
"288","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-18,17
"289","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-19,11
"290","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-20,26
"291","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-21,9
"292","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-22,11
"293","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-23,8
"294","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-24,8
"295","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-25,12
"296","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-26,9
"297","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-27,6
"298","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-28,17
"299","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-29,13
"300","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-30,12
"301","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-01-31,19
"302","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-02-01,22
"303","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-02-02,16
"304","wikipedia","ur","Article 370 of the Constitution of India","all-access","all-agents","daily",2016-02-03,31
