"","project","language","article","access","agent","granularity","date","views"
"113","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-21,1621
"114","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-22,1628
"115","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-23,1772
"116","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-24,1961
"117","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-25,1801
"118","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-26,2360
"119","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-27,2318
"120","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-28,1786
"121","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-29,1823
"122","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-30,1561
"123","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-10-31,1468
"124","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-01,1600
"125","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-02,1876
"126","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-03,2054
"127","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-04,1838
"128","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-05,1873
"129","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-06,1621
"130","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-07,1705
"131","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-08,1728
"132","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-09,1750
"133","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-10,1649
"134","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-11,1580
"135","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-12,1660
"136","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-13,1529
"137","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-14,1570
"138","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-15,1783
"139","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-16,2114
