,project,article,granularity,access,agent,views,date
182,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-07-02
183,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-07-03
184,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-07-04
185,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-07-05
186,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-07-06
187,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-07-07
188,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-07-08
189,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-07-09
190,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-07-10
191,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-07-11
192,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-07-12
193,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-07-13
194,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-07-14
195,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-07-15
196,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-07-16
197,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-07-17
198,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-07-18
199,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-07-19
200,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-07-20
201,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-07-21
202,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-07-22
203,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-07-23
204,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,5,2018-07-24
205,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-07-25
206,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-07-26
207,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-07-27
208,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-07-28
209,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-07-29
210,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-07-30
211,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-07-31
212,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-08-01
