date,views
11/2/2016,6
11/3/2016,16
11/4/2016,11
11/5/2016,18
11/6/2016,13
11/7/2016,14
11/8/2016,15
11/9/2016,16
11/10/2016,10
11/11/2016,8
11/12/2016,10
11/13/2016,8
11/14/2016,11
11/15/2016,11
11/16/2016,15
11/17/2016,15
11/18/2016,3
11/19/2016,7
11/20/2016,11
11/21/2016,11
11/22/2016,16
11/23/2016,8
11/24/2016,17
11/25/2016,16
11/26/2016,19
11/27/2016,9
11/28/2016,9
11/29/2016,9
11/30/2016,21
12/1/2016,14
12/2/2016,5
12/3/2016,14
12/4/2016,15
12/5/2016,11
12/6/2016,12
12/7/2016,19
12/8/2016,14
12/9/2016,17
12/10/2016,10
12/11/2016,17
12/12/2016,9
12/13/2016,9
12/14/2016,12
12/15/2016,15
12/16/2016,8
12/17/2016,6
12/18/2016,6
12/19/2016,12
12/20/2016,4
12/21/2016,9
12/22/2016,13
12/23/2016,11
12/24/2016,10
12/25/2016,12
12/26/2016,9
12/27/2016,9
12/28/2016,11
12/29/2016,18
12/30/2016,11
12/31/2016,7
1/1/2017,4
1/2/2017,13
1/3/2017,12
1/4/2017,14
1/5/2017,13
1/6/2017,10
1/7/2017,11
1/8/2017,3
1/9/2017,3
1/10/2017,4
1/11/2017,7
1/12/2017,20
1/13/2017,9
1/14/2017,12
1/15/2017,11
1/16/2017,6
1/17/2017,9
1/18/2017,8
1/19/2017,17
1/20/2017,20
1/21/2017,21
1/22/2017,7
1/23/2017,15
1/24/2017,15
1/25/2017,23
1/26/2017,19
1/27/2017,18
1/28/2017,11
1/29/2017,14
1/30/2017,17
1/31/2017,26
2/1/2017,28
2/2/2017,30
2/3/2017,37
2/4/2017,73
2/5/2017,82
2/6/2017,46
2/7/2017,34
2/8/2017,24
2/9/2017,38
2/10/2017,14
2/11/2017,18
2/12/2017,14
2/13/2017,26
2/14/2017,18
2/15/2017,16
2/16/2017,22
2/17/2017,12
2/18/2017,19
2/19/2017,13
2/20/2017,15
2/21/2017,23
2/22/2017,9
2/23/2017,14
2/24/2017,23
2/25/2017,5
2/26/2017,9
2/27/2017,10
2/28/2017,27
3/1/2017,18
3/2/2017,20
3/3/2017,18
3/4/2017,10
3/5/2017,12
3/6/2017,15
3/7/2017,20
3/8/2017,7
3/9/2017,17
3/10/2017,14
3/11/2017,9
3/12/2017,20
3/13/2017,22
3/14/2017,17
3/15/2017,28
3/16/2017,17
3/17/2017,17
3/18/2017,9
3/19/2017,13
3/20/2017,4
3/21/2017,10
3/22/2017,11
3/23/2017,14
3/24/2017,15
3/25/2017,8
3/26/2017,6
3/27/2017,7
3/28/2017,12
3/29/2017,12
3/30/2017,12
3/31/2017,6
4/1/2017,7
4/2/2017,6
4/3/2017,15
4/4/2017,13
4/5/2017,8
4/6/2017,14
4/7/2017,11
4/8/2017,11
4/9/2017,10
4/10/2017,8
4/11/2017,8
4/12/2017,11
4/13/2017,13
4/14/2017,10
4/15/2017,5
4/16/2017,15
4/17/2017,22
4/18/2017,14
4/19/2017,16
4/20/2017,9
4/21/2017,8
4/22/2017,6
4/23/2017,11
4/24/2017,11
4/25/2017,15
4/26/2017,11
4/27/2017,11
4/28/2017,13
4/29/2017,13
4/30/2017,20
5/1/2017,18
5/2/2017,16
5/3/2017,16
5/4/2017,14
5/5/2017,12
5/6/2017,14
5/7/2017,8
5/8/2017,9
5/9/2017,11
5/10/2017,10
5/11/2017,11
5/12/2017,9
5/13/2017,14
5/14/2017,14
5/15/2017,14
5/16/2017,16
5/17/2017,11
5/18/2017,8
5/19/2017,25
5/20/2017,8
5/21/2017,12
5/22/2017,11
5/23/2017,13
5/24/2017,12
5/25/2017,7
5/26/2017,2
5/27/2017,13
5/28/2017,6
5/29/2017,12
5/30/2017,5
5/31/2017,4
6/1/2017,13
6/2/2017,6
6/3/2017,18
6/4/2017,7
6/5/2017,3
6/6/2017,3
6/7/2017,9
6/8/2017,15
6/9/2017,9
6/10/2017,25
6/11/2017,9
6/12/2017,7
6/13/2017,13
6/14/2017,9
6/15/2017,7
6/16/2017,11
6/17/2017,10
6/18/2017,9
6/19/2017,5
6/20/2017,10
6/21/2017,6
6/22/2017,8
6/23/2017,19
6/24/2017,4
6/25/2017,4
6/26/2017,3
6/27/2017,12
6/28/2017,7
6/29/2017,11
6/30/2017,19
7/1/2017,9
7/2/2017,8
7/3/2017,9
7/4/2017,19
7/5/2017,8
7/6/2017,12
7/7/2017,23
7/8/2017,18
7/9/2017,12
7/10/2017,14
7/11/2017,8
7/12/2017,10
7/13/2017,14
7/14/2017,13
7/15/2017,12
7/16/2017,12
7/17/2017,8
7/18/2017,4
7/19/2017,8
7/20/2017,10
7/21/2017,14
7/22/2017,9
7/23/2017,11
7/24/2017,13
7/25/2017,9
7/26/2017,20
7/27/2017,11
7/28/2017,6
7/29/2017,3
7/30/2017,9
7/31/2017,12
8/1/2017,17
8/2/2017,20
8/3/2017,8
8/4/2017,6
8/5/2017,9
8/6/2017,12
8/7/2017,12
8/8/2017,8
8/9/2017,10
8/10/2017,11
8/11/2017,13
8/12/2017,7
8/13/2017,22
8/14/2017,12
8/15/2017,13
8/16/2017,14
8/17/2017,14
8/18/2017,9
8/19/2017,12
8/20/2017,2
8/21/2017,7
8/22/2017,11
8/23/2017,9
8/24/2017,5
8/25/2017,5
8/26/2017,6
8/27/2017,15
8/28/2017,4
8/29/2017,13
8/30/2017,14
8/31/2017,10
9/1/2017,5
9/2/2017,6
9/3/2017,10
9/4/2017,11
9/5/2017,5
9/6/2017,19
9/7/2017,6
9/8/2017,11
9/9/2017,15
9/10/2017,11
9/11/2017,9
9/12/2017,4
9/13/2017,8
9/14/2017,8
9/15/2017,6
9/16/2017,17
9/17/2017,11
9/18/2017,11
9/19/2017,11
9/20/2017,9
9/21/2017,7
9/22/2017,4
9/23/2017,11
9/24/2017,21
9/25/2017,8
9/26/2017,10
9/27/2017,8
9/28/2017,9
9/29/2017,5
9/30/2017,2
10/1/2017,7
10/2/2017,6
10/3/2017,2
10/4/2017,12
10/5/2017,7
10/6/2017,13
10/7/2017,17
10/8/2017,3
10/9/2017,18
10/10/2017,9
10/11/2017,12
10/12/2017,11
10/13/2017,7
10/14/2017,7
10/15/2017,15
10/16/2017,17
10/17/2017,12
10/18/2017,11
10/19/2017,12
10/20/2017,15
10/21/2017,7
10/22/2017,18
